cve_mun,municipio,grad_margi,grad_rez_social,conectividad,servicios_basicos,elementos_salud,educacion,desigualdad,dependencia_economica,calidad_vivienda,seguridad_alimentaria,seguridad_social
20001,Abejones,Alto,Medio,Bajo,Bajo,Alto,Alto,Medio,Alto,Medio,Bajo,Alto
20002,Acatlán de Pérez Figueroa,Medio,Bajo,Medio,Bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Medio
20003,Asunción Cacalotepec,Alto,Muy alto,Muy bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Alto,Medio
20004,Asunción Cuyotepeji,Medio,Bajo,Bajo,Bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20005,Asunción Ixtaltepec,Bajo,Bajo,Medio,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20006,Asunción Nochixtlán,Medio,Bajo,Medio,Bajo,Alto,Bajo,Medio,Medio,Medio,Medio,Bajo
20007,Asunción Ocotlán,Muy alto,Muy alto,Bajo,Muy bajo,Medio,Alto,Medio,Alto,Alto,Bajo,Bajo
20008,Asunción Tlacolulita,Medio,Medio,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Medio
20009,Ayotzintepec,Alto,Medio,Bajo,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Muy bajo,Alto
20010,El Barrio de la Soledad,Bajo,Muy bajo,Medio,Medio,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Bajo
20011,Calihualá,Alto,Medio,Muy bajo,Muy bajo,,Alto,Alto,Alto,Medio,Muy bajo,Medio
20012,Candelaria Loxicha,Muy alto,Alto,Bajo,Muy bajo,Muy bajo,Medio,Alto,Medio,Medio,Bajo,Bajo
20013,Ciénega de Zimatlán,Bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Alto,Medio,Alto,Medio
20014,Ciudad Ixtepec,Muy bajo,Muy bajo,Medio,Medio,Alto,Bajo,Medio,Alto,Medio,Medio,Medio
20015,Coatecas Altas,Muy alto,Muy alto,Bajo,Muy bajo,Muy bajo,Alto,Medio,Alto,Medio,Medio,Medio
20016,Coicoyán de las Flores,Muy alto,Muy alto,Muy bajo,Muy bajo,Bajo,Alto,Alto,Medio,Medio,Bajo,Medio
20017,La Compañía,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20018,Concepción Buenavista,Alto,Medio,Bajo,Bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20019,Concepción Pápalo,Alto,Medio,Bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20020,Constancia del Rosario,Alto,Medio,Bajo,Muy bajo,,Alto,Alto,Medio,Medio,Bajo,Medio
20021,Cosolapa,Medio,Bajo,Medio,Bajo,Medio,Medio,Medio,Alto,Medio,Medio,Bajo
20022,Cosoltepec,Medio,Bajo,Muy bajo,Muy bajo,,Bajo,Alto,Alto,Medio,Bajo,Medio
20023,Cuilápam de Guerrero,Alto,Medio,Medio,Muy bajo,Bajo,Bajo,Medio,Medio,Medio,Medio,Bajo
20024,Cuyamecalco Villa de Zaragoza,Alto,Alto,Bajo,Muy bajo,Muy bajo,Alto,Medio,Alto,Medio,Bajo,Medio
20025,Chahuites,Medio,Bajo,Medio,Muy bajo,Bajo,Medio,Medio,Alto,Bajo,Bajo,Bajo
20026,Chalcatongo de Hidalgo,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Alto,Medio,Medio,Bajo,Medio
20027,Chiquihuitlán de Benito Juárez,Alto,Alto,Muy bajo,Bajo,,Alto,Medio,Alto,Medio,Bajo,Medio
20028,Heroica Ciudad de Ejutla de Crespo,Alto,Medio,Medio,Bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo
20029,Eloxochitlán de Flores Magón,Muy alto,Muy alto,Muy bajo,Muy bajo,Bajo,Alto,Medio,Medio,Medio,Medio,Alto
20030,El Espinal,Muy bajo,Muy bajo,Medio,Alto,Medio,Bajo,Medio,Medio,Medio,Medio,Medio
20031,Tamazulápam del Espíritu Santo,Alto,Alto,Bajo,Bajo,Alto,Alto,Alto,Medio,Medio,Medio,Medio
20032,Fresnillo de Trujano,Alto,Medio,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Medio
20033,Guadalupe Etla,Muy bajo,Muy bajo,Medio,Medio,Alto,Bajo,Alto,Medio,Medio,Bajo,Bajo
20034,Guadalupe de Ramírez,Medio,Bajo,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Medio
20035,Guelatao de Juárez,Muy bajo,Muy bajo,Medio,Alto,Alto,Bajo,Alto,Medio,Medio,Alto,Alto
20036,Guevea de Humboldt,Alto,Medio,Bajo,Bajo,Medio,Medio,Medio,Alto,Medio,Muy bajo,Alto
20037,Mesones Hidalgo,Alto,Alto,Bajo,Muy bajo,Bajo,Alto,Alto,Medio,Medio,Bajo,Medio
20038,Villa Hidalgo,Alto,Medio,Bajo,Bajo,,Medio,Medio,Alto,Medio,Alto,Medio
20039,Heroica Ciudad de Huajuapan de León,Muy bajo,Muy bajo,Medio,Medio,Alto,Bajo,Medio,Medio,Medio,Medio,Bajo
20040,Huautepec,Muy alto,Muy alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Bajo,Muy bajo,Medio
20041,Huautla de Jiménez,Muy alto,Muy alto,Bajo,Muy bajo,Muy bajo,Alto,Alto,Medio,Medio,Bajo,Medio
20042,Ixtlán de Juárez,Medio,Bajo,Medio,Medio,Alto,Bajo,Alto,Medio,Medio,Alto,Medio
20043,Juchitán de Zaragoza,Bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Medio,Medio,Bajo,Bajo
20044,Loma Bonita,Bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20045,Magdalena Apasco,Muy bajo,Muy bajo,Medio,Alto,Medio,Bajo,Alto,Medio,Medio,Medio,Medio
20046,Magdalena Jaltepec,Alto,Medio,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Medio
20047,Santa Magdalena Jicotlán,Bajo,Bajo,Bajo,Bajo,,Medio,Medio,Medio,Medio,Medio,Bajo
20048,Magdalena Mixtepec,Alto,Muy alto,Bajo,Muy bajo,Medio,Medio,Medio,,Medio,Medio,Medio
20049,Magdalena Ocotlán,Alto,Medio,Medio,Muy bajo,,Medio,Medio,Alto,Medio,Alto,Bajo
20050,Magdalena Peñasco,Alto,Alto,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Alto,Alto
20051,Magdalena Teitipac,Muy alto,Muy alto,Bajo,Muy bajo,Medio,Alto,Medio,Muy alto,Medio,Medio,Bajo
20052,Magdalena Tequisistlán,Medio,Bajo,Bajo,Bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Medio
20053,Magdalena Tlacotepec,Bajo,Bajo,Medio,Bajo,,Medio,Alto,Medio,Medio,Alto,Medio
20054,Magdalena Zahuatlán,Medio,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Bajo,Alto
20055,Mariscala de Juárez,Medio,Bajo,Bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Medio,Medio
20056,Mártires de Tacubaya,Alto,Medio,Muy bajo,Muy bajo,Medio,Medio,Medio,Medio,Bajo,Bajo,Medio
20057,Matías Romero Avendaño,Medio,Bajo,Medio,Bajo,Medio,Medio,,Medio,Medio,Bajo,Bajo
20058,Mazatlán Villa de Flores,Muy alto,Muy alto,Muy bajo,Muy bajo,Bajo,Alto,Medio,Medio,Medio,Bajo,Alto
20059,Miahuatlán de Porfirio Díaz,Medio,Medio,Medio,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Muy bajo
20060,Mixistlán de la Reforma,Alto,Alto,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Alto
20061,Monjas,Muy alto,Alto,Bajo,Muy bajo,Alto,Alto,Medio,Alto,Medio,Medio,Medio
20062,Natividad,Bajo,Bajo,Medio,Medio,Alto,Bajo,Medio,Medio,Medio,Alto,Medio
20063,Nazareno Etla,Muy bajo,Muy bajo,Medio,Medio,Medio,Bajo,Medio,Alto,Medio,Medio,Medio
20064,Nejapa de Madero,Medio,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Medio
