cve_mun,municipio_norm,municipio,grad_margi,grad_rez_social,conectividad,servicios_basicos,elementos_salud,educacion,desigualdad,dependencia_economica,calidad_vivienda,seguridad_alimentaria,seguridad_social
20001,abejones,Abejones,Alto,Medio,Bajo,Bajo,Alto,Alto,Medio,Alto,Medio,Bajo,Alto
20002,acatlandeperezfigueroa,Acatlán de Pérez Figueroa,Medio,Bajo,Medio,Bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Medio
20003,asuncioncacalotepec,Asunción Cacalotepec,Alto,Muy alto,Muy bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Alto,Medio
20004,asuncioncuyotepeji,Asunción Cuyotepeji,Medio,Bajo,Bajo,Bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20005,asuncionixtaltepec,Asunción Ixtaltepec,Bajo,Bajo,Medio,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20006,asuncionnochixtlan,Asunción Nochixtlán,Medio,Bajo,Medio,Bajo,Alto,Bajo,Medio,Medio,Medio,Medio,Bajo
20007,asuncionocotlan,Asunción Ocotlán,Muy alto,Muy alto,Bajo,Muy bajo,Medio,Alto,Medio,Alto,Alto,Bajo,Bajo
20008,asunciontlacolulita,Asunción Tlacolulita,Medio,Medio,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Medio
20009,ayotzintepec,Ayotzintepec,Alto,Medio,Bajo,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Muy bajo,Alto
20010,elbarriodelasoledad,El Barrio de la Soledad,Bajo,Muy bajo,Medio,Medio,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Bajo
20011,calihuala,Calihualá,Alto,Medio,Muy bajo,Muy bajo,,Alto,Alto,Alto,Medio,Muy bajo,Medio
20012,candelarialoxicha,Candelaria Loxicha,Muy alto,Alto,Bajo,Muy bajo,Muy bajo,Medio,Alto,Medio,Medio,Bajo,Bajo
20013,cienegadezimatlan,Ciénega de Zimatlán,Bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Alto,Medio,Alto,Medio
20014,ciudadixtepec,Ciudad Ixtepec,Muy bajo,Muy bajo,Medio,Medio,Alto,Bajo,Medio,Alto,Medio,Medio,Medio
20015,coatecasaltas,Coatecas Altas,Muy alto,Muy alto,Bajo,Muy bajo,Muy bajo,Alto,Medio,Alto,Medio,Medio,Medio
20016,coicoyandelasflores,Coicoyán de las Flores,Muy alto,Muy alto,Muy bajo,Muy bajo,Bajo,Alto,Alto,Medio,Medio,Bajo,Medio
20017,lacompania,La Compañía,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20018,concepcionbuenavista,Concepción Buenavista,Alto,Medio,Bajo,Bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20019,concepcionpapalo,Concepción Pápalo,Alto,Medio,Bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20020,constanciadelrosario,Constancia del Rosario,Alto,Medio,Bajo,Muy bajo,,Alto,Alto,Medio,Medio,Bajo,Medio
20021,cosolapa,Cosolapa,Medio,Bajo,Medio,Bajo,Medio,Medio,Medio,Alto,Medio,Medio,Bajo
20022,cosoltepec,Cosoltepec,Medio,Bajo,Muy bajo,Muy bajo,,Bajo,Alto,Alto,Medio,Bajo,Medio
20023,cuilapamdeguerrero,Cuilápam de Guerrero,Alto,Medio,Medio,Muy bajo,Bajo,Bajo,Medio,Medio,Medio,Medio,Bajo
20024,cuyamecalcovilladezaragoza,Cuyamecalco Villa de Zaragoza,Alto,Alto,Bajo,Muy bajo,Muy bajo,Alto,Medio,Alto,Medio,Bajo,Medio
20025,chahuites,Chahuites,Medio,Bajo,Medio,Muy bajo,Bajo,Medio,Medio,Alto,Bajo,Bajo,Bajo
