clave_mun,municipio,poblacion,pob_indigena,pob_afrodescendiente,pob_analfabeta,pob_discapacidad,viviendas,viv_internet,viv_computadoras,viv_celular,ind_rez_social,grad_rez_social,ind_margi,ind_margi_norm,grad_margi,pobr,pobr_ext,pobr_mod,pob_vuln_carencias,pob_vuln_ingresos,pob_no_vuln,rez_educativo,pob_car_hogar,pob_car_salud,pob_car_seg_social,pob_car_ser_basicos,pob_car_alimentacion,pob_car_al_una,pon_car_al_tres,pob_bajo_linea_asist,pob_bajo_linea_min_asist,gini,tasa_ingresos,cama_hospital,cama_fuera_hospital,cama_rec_nac,consultorios,equipamento,medicos_otros,medicos_gen_esp_odont,otro_pers,otro_pers_prof,enfermeria_contac_paciente,enfermeria_otras,medicos_adiest,per_tecnico,total_elementos_salud,por_mas_15_analfabeta,tasa_alfa_1524,grad_escol_prom_15
20001,Abejones,841,815,1,132,43,217,17,17,92,0.815821,Medio,52.05193097,0.815060797,Alto,787,204,583,52,1,1,247,179,45,755,306,307,839,274,788,594,0.391157329,0.1654513354,0,2,0,2,0,0,1,0,0,1,0,2,0,8,78,99.5,6.9
20002,Acatlán de Pérez Figueroa,45167,8548,316,4198,3467,12859,3700,1715,10141,0.066739,Bajo,52.95175431,0.829150778,Medio,23820,7438,16381,11000,1214,4058,12609,5750,13982,27588,23081,11201,34820,19114,25034,11088,0.3915266693,0.1395936633,0,0,0,10,0,0,12,12,1,28,0,3,6,72,87.1,97.6,7.3
20003,Asunción Cacalotepec,2547,2504,0,385,121,794,43,54,202,1.873466,Muy alto,49.94521128,0.782072499,Alto,2303,885,1418,191,31,23,816,778,597,1880,2175,198,2494,1218,2334,1692,0.3761566679,0.1934806655,0,1,0,1,0,0,0,0,0,3,0,1,0,6,97.1,99.7,10.7
20004,Asunción Cuyotepeji,1107,3,15,69,114,342,60,47,118,-0.158009,Bajo,54.57218623,0.854524487,Medio,701,175,526,275,53,79,290,148,311,789,444,160,975,353,754,355,0.390389343,0.1576126665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.2,97,6.7
20005,Asunción Ixtaltepec,15261,10406,723,1365,1178,4828,1409,1013,3733,-0.494904,Bajo,56.00716732,0.876994294,Bajo,4615,678,3937,6819,337,3136,3607,1274,3835,8125,5765,4271,11434,4923,4952,1128,0.384962002,0.1373403321,0,5,0,8,0,0,7,2,2,13,0,0,1,38,91.7,97.3,7.8
20006,Asunción Nochixtlán,20464,4961,685,867,1247,5474,1298,1166,4456,-0.050485,Bajo,54.42350551,0.852196354,Medio,14952,4364,10587,2760,673,1315,3016,3208,8726,15444,9572,3303,17712,7045,15625,9668,0.3943980038,0.1344143326,13,11,3,17,5,1,51,41,9,90,1,2,12,256,88.6,98.9,8.5
20007,Asunción Ocotlán,2395,2362,46,593,235,769,125,48,548,2.176115,Muy alto,46.27933857,0.724670034,Muy alto,2003,986,1017,380,4,10,1304,1452,1038,1849,1986,613,2383,1957,2007,1133,0.3713843326,0.1576999985,0,0,0,1,0,0,1,0,0,2,0,2,0,6,93.8,99.4,9.2
20008,Asunción Tlacolulita,734,119,28,50,87,267,10,16,139,0.324694,Medio,52.96040975,0.82928631,Medio,517,129,388,176,20,21,248,187,170,501,421,83,693,279,537,242,0.3529963394,0.174878662,0,1,0,2,0,0,0,0,0,2,0,2,0,7,68.4,98.4,4.8
20009,Ayotzintepec,6857,5672,30,601,407,1976,192,109,1213,0.449867,Medio,52.36323237,0.819935344,Alto,6459,3108,3352,280,101,20,2068,1273,1006,6232,4114,4145,6739,4114,6560,4992,0.3882286648,0.1390566677,0,0,0,1,0,0,1,0,0,2,0,0,0,4,90.8,96,6.7
20010,El Barrio de la Soledad,13474,1550,499,646,872,4300,1370,1248,3568,-0.856314,Muy bajo,56.3840902,0.882896381,Bajo,3357,670,2688,6029,483,4639,2826,1189,4716,5692,3601,2834,9386,3423,3841,1059,0.3876683315,0.1405316666,0,2,0,2,0,0,2,1,0,4,0,1,1,13,84.7,99.1,6.3
20011,Calihualá,1402,682,16,221,140,320,13,16,104,0.821549,Medio,49.43303324,0.774052503,Alto,1171,553,618,209,7,17,568,293,291,1146,1053,752,1380,887,1177,723,0.41056934,0.1556183323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.2,97.4,6.7
20012,Candelaria Loxicha,11166,8863,289,1443,628,2464,76,167,1752,1.768702,Alto,46.43785395,0.727152164,Muy alto,9457,4999,4458,1496,39,179,4420,6117,4663,9309,9435,3898,10953,8454,9496,5834,0.4032776654,0.1140083348,0,0,0,2,0,0,2,0,0,5,0,1,0,10,76.4,95.2,5.5
20013,Ciénega de Zimatlán,3043,59,96,178,267,896,524,215,749,-0.583268,Bajo,55.19314276,0.864247802,Bajo,2113,273,1840,702,90,139,915,433,886,2361,571,276,2815,662,2203,809,0.3699700038,0.1514070009,0,0,0,3,0,0,4,1,1,3,0,1,0,13,79.1,97.5,6.1
20014,Ciudad Ixtepec,28082,11435,1384,1388,2627,8593,4278,2796,7698,-0.756319,Muy bajo,57.53812814,0.900967009,Muy bajo,7488,1085,6403,9404,1202,6829,3891,3226,8444,12737,5653,4667,16892,6409,8690,1920,0.3441806634,0.167858998,30,9,9,21,6,3,53,70,9,84,6,3,17,320,98.3,99.7,10.3
20015,Coatecas Altas,5356,3425,6,1150,526,1214,309,22,762,2.010036,Muy alto,46.8164476,0.733080414,Muy alto,5096,2703,2393,249,10,3,2664,1976,1525,4609,4518,1177,5345,3700,5106,3741,0.3761159976,0.155561503,0,0,0,1,0,0,0,0,0,2,0,1,0,4,89.1,97.9,7.4
20016,Coicoyán de las Flores,9563,9544,11,2424,185,1677,70,29,266,3.30464,Muy alto,42.70356491,0.668678395,Muy alto,9500,7878,1622,59,7,0,5188,6360,1543,8530,8923,4762,9560,8333,9507,8923,0.4169750015,0.1250539993,0,0,0,5,0,0,1,0,0,6,0,0,1,13,88.9,99.1,7.8
20017,La Compañía,3607,57,26,495,426,1066,59,27,489,1.031368,Alto,49.5829311,0.776399695,Alto,3100,1176,1924,481,14,14,1425,1198,986,3026,2754,819,3581,2185,3114,1745,0.3522583346,0.1846650044,0,0,0,2,1,0,2,0,0,4,0,0,0,9,67.9,98.6,4.9
20018,Concepción Buenavista,752,30,0,45,123,237,29,11,155,0.416116,Medio,52.26757949,0.818437553,Alto,571,179,392,147,13,21,282,153,128,569,417,180,718,298,584,326,0.3941383262,0.1519166678,0,0,0,1,0,0,1,0,0,1,0,0,0,3,92.4,99,7.9
20019,Concepción Pápalo,2754,1881,376,382,323,860,47,33,454,0.68511,Medio,51.34761815,0.804032238,Alto,2564,951,1613,106,56,29,1195,641,557,2085,1262,742,2670,1183,2620,2008,0.3623496691,0.1430869997,0,0,0,2,0,0,2,1,0,2,0,1,0,8,93.4,99,9.7
20020,Constancia del Rosario,4847,3257,58,923,332,1059,140,147,717,0.96141,Medio,49.48343045,0.774841654,Alto,3799,2083,1716,796,35,219,1815,2043,762,4024,3445,2242,4595,3123,3833,2534,0.4953686595,0.096178335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,97.7,4.5
20021,Cosolapa,14488,1204,120,1070,906,4149,1067,702,3437,-0.29893,Bajo,54.56279646,0.854377456,Medio,7370,1991,5379,3432,553,1596,3465,1908,5104,8608,6114,3116,10802,5336,7923,3506,0.3740496735,0.1615990003,0,0,0,5,0,0,7,10,1,14,1,1,2,41,57.3,92.5,3.9
20022,Cosoltepec,803,261,54,34,94,296,13,14,111,0.065971,Bajo,53.55730841,0.838632913,Medio,609,189,420,105,44,44,187,121,192,379,512,291,714,292,654,416,0.4035679996,0.1664643337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.7,98.9,6.3
