_id,clave_entidad,entidad_federativa,clave_municipio,municipio,grupo,poblacion,pobreza_porcentaje,carencia_rezago_educativo_porcentaje,carencia_servicios_de_salud_porcentaje,carencia_seguridad_social_porcentaje,carencia_calidad_espacios_vivienda_porcentaje,carencia_servicios_basicos_vivienda_porcentaje,carencia_alimentacion_nutritiva_calidad_porcentaje,ingreso_inferior_a_lpi_porcentaje,periodo,entidad,entidad_federativa_etq
998,20,Oaxaca,20022,Cosoltepec,Población indígena,283,61.40458,24.80916,18.320611,33.206107,9.160305,57.633588,38.549618,70.145038,2020-01-01,Oaxaca,Oaxaca
977,20,Oaxaca,20001,Abejones,Población indígena,839,93.676867,29.375765,-999.0,89.840881,21.175031,36.352509,36.474908,93.801714,2020-01-01,Oaxaca,Oaxaca
978,20,Oaxaca,20002,Acatlán de Pérez Figueroa,Población indígena,8298,83.295355,40.126188,27.722733,83.534543,31.214134,91.282898,46.403934,83.753673,2020-01-01,Oaxaca,Oaxaca
979,20,Oaxaca,20003,Asunción Cacalotepec,Población indígena,2546,90.395273,31.98859,23.390383,73.757131,30.480848,85.330073,-999.0,91.610839,2020-01-01,Oaxaca,Oaxaca
980,20,Oaxaca,20004,Asunción Cuyotepeji,Población indígena,4,-999.0,-888.0,-999.0,100.0,-999.0,-888.0,-888.0,-999.0,2020-01-01,Oaxaca,Oaxaca
981,20,Oaxaca,20005,Asunción Ixtaltepec,Población indígena,9366,30.833068,25.446833,30.193269,50.353416,6.719258,33.546814,29.435191,33.835697,2020-01-01,Oaxaca,Oaxaca
982,20,Oaxaca,20006,Asunción Nochixtlán,Población indígena,5908,82.088213,20.05747,38.901175,75.717585,19.49319,61.296565,20.804684,84.987574,2020-01-01,Oaxaca,Oaxaca
983,20,Oaxaca,20007,Asunción Ocotlán,Población indígena,2368,83.737179,54.74359,43.376068,77.008547,60.470085,82.820513,25.726496,83.890171,2020-01-01,Oaxaca,Oaxaca
984,20,Oaxaca,20008,Asunción Tlacolulita,Población indígena,126,67.252033,47.154472,12.195122,48.780488,-999.0,61.788618,13.00813,69.333333,2020-01-01,Oaxaca,Oaxaca
985,20,Oaxaca,20009,Ayotzintepec,Población indígena,5886,94.998447,32.136693,13.686572,91.146013,19.209527,63.358647,64.756645,95.846565,2020-01-01,Oaxaca,Oaxaca
986,20,Oaxaca,20010,El Barrio de la Soledad,Población indígena,2184,38.356703,28.745676,47.187699,50.823042,-999.0,-999.0,29.332869,40.954105,2020-01-01,Oaxaca,Oaxaca
987,20,Oaxaca,20011,Calihualá,Población indígena,691,93.592295,49.919743,29.855538,86.998395,27.608347,90.048154,68.860353,93.592295,2020-01-01,Oaxaca,Oaxaca
988,20,Oaxaca,20012,Candelaria Loxicha,Población indígena,8955,89.418526,42.282867,40.584305,84.226022,60.717925,90.963651,39.304722,89.584532,2020-01-01,Oaxaca,Oaxaca
